DepMap_ID,cell_line_name,stripped_cell_line_name,CCLE_Name,alias,COSMICID,sex,source,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,culture_type
ACH-000019,MCF7,MCF7,MCF7_BREAST,,905946.0,Female,ATCC,CVCL_0031,588.0,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,69.0,SIDM00148,,breast,breast_carcinoma,ERpos_HER2neg,luminal,Adherent
ACH-000020,MHH-CALL-2,MHHCALL2,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908132.0,Female,DSMZ,CVCL_1409,1906.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",15.0,SIDM00331,,blood,ALL,b_cell,,
ACH-000021,NCI-H1693,NCIH1693,NCIH1693_LUNG,,687802.0,Female,ATCC,CVCL_1488,634.0,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",55.0,SIDM00742,,lung,NSCLC,NSCLC_adenocarcinoma,,Adherent
ACH-000023,PA-TU-8988T,PATU8988T,PATU8988T_PANCREAS,,1240201.0,Female,DSMZ,CVCL_1847,1242.0,liver,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",64.0,SIDM00453,,pancreas,exocrine,exocrine_adenocarcinoma,,Adherent
ACH-000024,OPM-2,OPM2,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909249.0,Female,DSMZ,CVCL_1625,112.0,haematopoietic_and_lymphoid_tissue,Primary,Myeloma,Multiple Myeloma,56.0,SIDM00457,,plasma_cell,multiple_myeloma,,,Suspension
ACH-000030,PC-14,PC14,PC14_LUNG,,753608.0,Male,RIKEN,CVCL_1640,198.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00237,,lung,NSCLC,NSCLC_adenocarcinoma,,Adherent
ACH-000035,NCI-H1650,NCIH1650,NCIH1650_LUNG,,687800.0,Male,ATCC,CVCL_1483,1548.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",27.0,SIDM00745,,lung,NSCLC,NSCLC_adenocarcinoma,,Adherent
ACH-000038,EHEB,EHEB,EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906854.0,Female,DSMZ,CVCL_1194,39.0,haematopoietic_and_lymphoid_tissue,,Lymphoma,B-cell,69.0,SIDM01049,,lymphocyte,lymphoma_unspecified,b_cell,,Suspension
ACH-000040,U-118 MG,U118MG,U118MG_CENTRAL_NERVOUS_SYSTEM,,687588.0,Male,ATCC,CVCL_0633,7.0,central_nervous_system,Primary,Brain Cancer,Astrocytoma,,SIDM01193,,central_nervous_system,glioma,astrocytoma,,Adherent
ACH-000042,Panc 02.03,PANC0203,PANC0203_PANCREAS,,1298475.0,Female,ATCC,CVCL_1633,1838.0,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",70.0,SIDM01139,,pancreas,exocrine,exocrine_adenocarcinoma,,Adherent
ACH-000045,MV4;11,MV411,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV-4-11,908156.0,Male,ATCC,CVCL_0064,133.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,Acute Myelogenous Leukemia (AML),10.0,SIDM00657,,blood,AML,,,Suspension
ACH-000046,ACHN,ACHN,ACHN_KIDNEY,,905950.0,Male,ATCC,CVCL_1067,371.0,pleural_effusion,Metastasis,Kidney Cancer,Renal Cell Carcinoma,22.0,SIDM00123,,kidney,renal_cell_carcinoma,,,Adherent
ACH-000047,GCIY,GCIY,GCIY_STOMACH,,906869.0,Female,RIKEN,CVCL_1228,1414.0,ascites,Metastasis,Gastric Cancer,Adenocarcinoma,,SIDM00274,,gastric,gastric_adenocarcinoma,,,
ACH-000048,TOV-112D,TOV112D,TOV112D_OVARY,,1299070.0,Female,ATCC,CVCL_3612,5.0,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, endometrioid",42.0,SIDM01170,,ovary,ovary_adenocarcinoma,endometrioid,,Adherent
ACH-000050,NCI-H929,NCIH929,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,724825.0,Female,ATCC,CVCL_1600,1230.0,pleural_effusion,Metastasis,Myeloma,"Multiple Myeloma, plasmacytoma",62.0,SIDM01148,,plasma_cell,multiple_myeloma,plasmacytoma,,
ACH-000052,A-673,A673,A673_BONE,,684052.0,Female,ATCC,CVCL_0080,660.0,soft_tissue,Primary,Bone Cancer,Ewings Sarcoma,15.0,SIDM00848,,bone,Ewing_sarcoma,,EWS_FLI,Adherent
ACH-000053,KARPAS-299,KARPAS299,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907273.0,Male,Academic lab,CVCL_1324,906.0,haematopoietic_and_lymphoid_tissue,,Lymphoma,"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",25.0,SIDM01010,,lymphocyte,non_hodgkin_lymphoma,t_cell_ALCL,,Suspension
ACH-000054,HT-1080,HT1080,HT1080_SOFT_TISSUE,,907064.0,Male,ATCC,CVCL_0317,1391.0,soft_tissue,Metastasis,Sarcoma,Fibrosarcoma,35.0,SIDM00828,,soft_tissue,fibrosarcoma,,,Adherent
ACH-000055,D283 Med,D283MED,D283MED_CENTRAL_NERVOUS_SYSTEM,D283,906834.0,Male,ATCC,CVCL_1155,1184.0,abdomen,Metastasis,Brain Cancer,Medulloblastoma,6.0,SIDM00888,,central_nervous_system,medulloblastoma,med_group_3,MYC_exp,Adherent
ACH-000056,DOHH-2,DOHH2,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906842.0,Male,DSMZ,CVCL_1179,1339.0,pleural_effusion,Metastasis,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),60.0,SIDM00981,,lymphocyte,non_hodgkin_lymphoma,DLBCL,,
ACH-000058,ML-1,ML1,ML1_THYROID,,1240178.0,Unknown,DSMZ,CVCL_H525,1227.0,thyroid,,Thyroid Cancer,"Carcinoma, follicular",,SIDM00442,,thyroid,thyroid_carcinoma,follicular,,Adherent
ACH-000059,SUP-B15,SUPB15,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1247871.0,Male,ATCC,CVCL_0103,786.0,bone_marrow,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",9.0,SIDM01176,,blood,ALL,b_cell,,Suspension
ACH-000060,Panc 10.05,PANC1005,PANC1005_PANCREAS,,925348.0,Male,ATCC,CVCL_1639,197.0,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",56.0,SIDM01135,,pancreas,exocrine,exocrine_adenocarcinoma,,Adherent
ACH-000061,HH,HH,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907056.0,Male,ATCC,CVCL_1280,310.0,haematopoietic_and_lymphoid_tissue,,Lymphoma,"T-cell, Non-Hodgkins, Cutaneous",61.0,SIDM00671,,lymphocyte,non_hodgkin_lymphoma,t_cell_cutaneous,,Suspension
ACH-000062,RERF-LC-MS,RERFLCMS,RERFLCMS_LUNG,,910931.0,Male,JCRB,CVCL_1655,2051.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00355,,lung,NSCLC,NSCLC_adenocarcinoma,,Adherent
ACH-000065,OCI-AML5,OCIAML5,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330983.0,Male,DSMZ,CVCL_1620,2130.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,Acute Myelogenous Leukemia (AML),77.0,SIDM00461,,blood,AML,,,
ACH-000067,Hs 683,HS683,HS683_CENTRAL_NERVOUS_SYSTEM,,1240150.0,Male,ATCC,CVCL_0844,769.0,central_nervous_system,Primary,Brain Cancer,Oligodendroglioma,76.0,SIDM00666,,central_nervous_system,glioma,oligodendroglioma,,Adherent
ACH-000070,697,697,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906800.0,Male,DSMZ,CVCL_0079,63.0,bone_marrow,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",12.0,SIDM01076,,blood,ALL,b_cell,,Adherent
ACH-000072,MEG-01,MEG01,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908126.0,Male,ATCC,CVCL_0425,1263.0,bone_marrow,,Leukemia,Chronic Myelogenous Leukemia (CML),55.0,SIDM00526,,blood,CML,,,Mixed adherent and suspension
ACH-000073,GRANTA-519,GRANTA519,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1303897.0,Female,DSMZ,CVCL_1818,1776.0,haematopoietic_and_lymphoid_tissue,Primary,Lymphoma,"B-cell, Non-Hodgkins, Mantle Cell",58.0,SIDM01058,,lymphocyte,non_hodgkin_lymphoma,b_cell_mantle_cell,,
ACH-000074,KU812,KU812,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907311.0,Male,ATCC,CVCL_0379,598.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",38.0,SIDM00308,,blood,CML,blast_crisis,,
ACH-000075,U-87 MG,U87MG,U87MG_CENTRAL_NERVOUS_SYSTEM,,687590.0,Unknown,ATCC,CVCL_0022,549.0,central_nervous_system,Primary,Brain Cancer,Astrocytoma,44.0,SIDM01189,,central_nervous_system,glioma,astrocytoma,,Adherent
ACH-000078,MHH-NB-11,MHHNB11,MHHNB11_AUTONOMIC_GANGLIA,,908135.0,Male,DSMZ,CVCL_1412,1818.0,autonomic_ganglia,Metastasis,Neuroblastoma,,4.0,SIDM00387,,peripheral_nervous_system,neuroblastoma,,MYCN_amp,Adherent
ACH-000081,GDM-1,GDM1,GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906870.0,Female,ATCC,CVCL_1230,164.0,haematopoietic_and_lymphoid_tissue,,Leukemia,Acute Myelogenous Leukemia (AML),66.0,SIDM01057,,blood,AML,,,
ACH-000082,"G-292, clone A141B1",G292CLONEA141B1,G292CLONEA141B1_BONE,"G292CLONEA141B1, G-292 clone A141B1",1290807.0,Female,ATCC,CVCL_2909,661.0,bone,Primary,Bone Cancer,Osteosarcoma,9.0,SIDM00858,,bone,osteosarcoma,,,Adherent
ACH-000087,SK-ES-1,SKES1,SKES1_BONE,,684072.0,Male,ATCC,CVCL_0627,41.0,bone,Primary,Bone Cancer,Ewings Sarcoma,18.0,SIDM01111,,bone,Ewing_sarcoma,,EWS_FLI,
ACH-000091,OV56,OV56,OV56_OVARY,,1480362.0,Female,ECACC,CVCL_2673,686.0,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, serous",46.0,SIDM00475,,ovary,ovary_adenocarcinoma,serous,,Adherent
ACH-000092,NCI-H2452,NCIH2452,NCIH2452_PLEURA,,908462.0,Male,ATCC,CVCL_1553,624.0,pleura,Metastasis,Lung Cancer,Mesothelioma,,SIDM00722,,lung,mesothelioma,,,Adherent
ACH-000094,HPAF-II,HPAFII,HPAFII_PANCREAS,,724869.0,Male,ATCC,CVCL_0313,889.0,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",44.0,SIDM00669,,pancreas,exocrine,exocrine_adenocarcinoma,,Adherent
ACH-000096,G-401,G401,G401_SOFT_TISSUE,,907299.0,Male,ATCC,CVCL_0270,962.0,kidney,Primary,Rhabdoid,Malignant Rhabdoid Tumor,0.25,SIDM00856,,kidney,malignant_rhabdoid_tumor,,,Adherent
ACH-000098,GAMG,GAMG,GAMG_CENTRAL_NERVOUS_SYSTEM,,906868.0,Female,DSMZ,CVCL_1226,1174.0,central_nervous_system,Primary,Brain Cancer,Glioblastoma,42.0,SIDM01055,,central_nervous_system,glioma,glioblastoma,,Adherent
ACH-000099,SIMA,SIMA,SIMA_AUTONOMIC_GANGLIA,,753620.0,Male,DSMZ,CVCL_1695,2076.0,autonomic_ganglia,,Neuroblastoma,,1.67,SIDM00395,,peripheral_nervous_system,neuroblastoma,,,
ACH-000100,RH-41,RH41,RH41_SOFT_TISSUE,,1240210.0,Female,DSMZ,CVCL_2176,2052.0,liver,Metastasis,Sarcoma,"Rhabdomyosarcoma, alveolar",,SIDM00426,,soft_tissue,rhabdomyosarcoma,alveolar,,Adherent
ACH-000101,KE-37,KE37,KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907277.0,Male,DSMZ,CVCL_1327,1012.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",27.0,SIDM01003,,blood,ALL,t_cell,,Suspension
ACH-000102,GMS-10,GMS10,GMS10_CENTRAL_NERVOUS_SYSTEM,,906873.0,Male,DSMZ,CVCL_1233,294.0,central_nervous_system,Primary,Brain Cancer,Glioblastoma,49.0,SIDM01074,,central_nervous_system,glioma,glioblastoma,,
ACH-000103,Caov-4,CAOV4,CAOV4_OVARY,,949090.0,Female,ATCC,CVCL_0202,1524.0,ovary,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",45.0,SIDM00918,,ovary,ovary_adenocarcinoma,high_grade_serous,,Adherent
ACH-000104,Loucy,LOUCY,LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907789.0,Female,ATCC,CVCL_1380,1645.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",38.0,SIDM00342,,blood,ALL,t_cell,,Suspension
ACH-000105,ALL-SIL,ALLSIL,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1295740.0,Male,DSMZ,CVCL_1805,2263.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",17.0,SIDM00994,,blood,ALL,t_cell,,not found
ACH-000106,JVM-2,JVM2,JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907269.0,Female,DSMZ,CVCL_1319,764.0,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Non-Hodgkins, Mantle Cell",63.0,SIDM01013,,lymphocyte,non_hodgkin_lymphoma,b_cell_mantle_cell,,
ACH-000107,Capan-2,CAPAN2,CAPAN2_PANCREAS,,910915.0,Male,ATCC,CVCL_0026,703.0,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",56.0,SIDM00943,,pancreas,exocrine,exocrine_adenocarcinoma,,Adherent
ACH-000108,KP-3,KP3,KP3_PANCREAS,,1298219.0,Male,HSRRB,CVCL_3005,155.0,liver,Metastasis,Pancreatic Cancer,"Ductal Adenosquamous Carcinoma, exocrine",75.0,SIDM00571,,pancreas,exocrine,exocrine_adenosquamous,,
ACH-000111,HCC1187,HCC1187,HCC1187_BREAST,,749711.0,Female,ATCC,CVCL_1247,1644.0,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,41.0,SIDM00885,,breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_A,Mixed adherent and suspension
ACH-000112,SIG-M5,SIGM5,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909715.0,Male,DSMZ,CVCL_1694,656.0,bone_marrow,,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",63.0,SIDM00396,,blood,AML,M5,,
ACH-000113,OCI-AML2,OCIAML2,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910947.0,Male,DSMZ,CVCL_1619,749.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)",65.0,SIDM00446,,blood,AML,M4,,
ACH-000114,SU.86.86,SU8686,SU8686_PANCREAS,,1240218.0,Female,ATCC,CVCL_3881,268.0,liver,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",57.0,SIDM01188,,pancreas,exocrine,exocrine_adenocarcinoma,,
ACH-000115,VCaP,VCAP,VCAP_PROSTATE,,1299075.0,Male,ATCC,CVCL_2235,2154.0,bone,Metastasis,Prostate Cancer,Adenocarcinoma,59.0,SIDM01077,,prostate,prostate_adenocarcinoma,,,Adherent
ACH-000117,EFM-192A,EFM192A,EFM192A_BREAST,,1290798.0,Female,DSMZ,CVCL_1812,1187.0,pleural_effusion,Metastasis,Breast Cancer,Adenocarcinoma,46.0,SIDM01002,,breast,breast_adenocarcinoma,ERpos_HER2pos,HER2_amp,
ACH-000118,HUP-T3,HUPT3,HUPT3_PANCREAS,,907285.0,Male,DSMZ,CVCL_1299,109.0,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",66.0,SIDM00533,,pancreas,exocrine,exocrine_adenocarcinoma,,Adherent
ACH-000120,CHP-212,CHP212,CHP212_AUTONOMIC_GANGLIA,,906820.0,Male,ATCC,CVCL_1125,13.0,central_nervous_system,,Neuroblastoma,,,SIDM00910,,peripheral_nervous_system,neuroblastoma,,MYCN_amp,Adherent
ACH-000121,NCI-H2405,NCIH2405,NCIH2405_LUNG,,687821.0,Male,ATCC,CVCL_1551,82.0,ascites,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",47.0,SIDM00724,,lung,NSCLC,NSCLC_adenocarcinoma,,Mixed adherent and suspension
ACH-000124,OCI-LY-19,OCILY19,OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330984.0,Female,DSMZ,CVCL_1878,1972.0,bone_marrow,Primary,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),27.0,SIDM00460,,lymphocyte,non_hodgkin_lymphoma,DLBCL,,Suspension
ACH-000129,NCI-H1341,NCIH1341,NCIH1341_LUNG,,1330964.0,Female,ATCC,CVCL_1463,1825.0,cervix,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),,SIDM00646,,lung,SCLC,,,Suspension
ACH-000132,JHOS-2,JHOS2,JHOS2_OVARY,,1479995.0,Female,RIKEN,CVCL_4647,436.0,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, high grade serous",45.0,SIDM00305,,ovary,ovary_adenocarcinoma,high_grade_serous,,
ACH-000135,Hs 940.T,HS940T,HS940T_FIBROBLAST,,1298145.0,Male,ATCC,CVCL_1038,707.0,fibroblast,Primary,Fibroblast,Skin,57.0,SIDM00662,,fibroblast,fibroblast_skin,,,Adherent
ACH-000136,CHP-126,CHP126,CHP126_AUTONOMIC_GANGLIA,,910567.0,Female,DSMZ,CVCL_1123,38.0,autonomic_ganglia,Primary,Neuroblastoma,,1.0,SIDM00286,,peripheral_nervous_system,neuroblastoma,,MYCN_amp,Suspension
ACH-000137,8-MG-BA,8MGBA,8MGBA_CENTRAL_NERVOUS_SYSTEM,,687562.0,Female,DSMZ,CVCL_1052,1207.0,central_nervous_system,Primary,Brain Cancer,Astrocytoma,54.0,SIDM00998,,central_nervous_system,glioma,astrocytoma,,Adherent
ACH-000138,CFPAC-1,CFPAC1,CFPAC1_PANCREAS,,906821.0,Male,ATCC,CVCL_1119,572.0,liver,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",26.0,SIDM00130,,pancreas,exocrine,exocrine_adenocarcinoma,,Mixed adherent and suspension
ACH-000139,Panc 03.27,PANC0327,PANC0327_PANCREAS,,925346.0,Female,ATCC,CVCL_1635,1873.0,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",65.0,SIDM01138,,pancreas,exocrine,exocrine_adenocarcinoma,,Adherent
ACH-000142,CAL-29,CAL29,CAL29_URINARY_TRACT,,1290730.0,Female,DSMZ,CVCL_1808,2040.0,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,80.0,SIDM00936,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,,Adherent
ACH-000144,RERF-GC-1B,RERFGC1B,RERFGC1B_STOMACH,,1240209.0,Male,HSRRB,CVCL_3152,285.0,lymph_node,Metastasis,Gastric Cancer,Adenocarcinoma,41.0,SIDM00358,,gastric,gastric_adenocarcinoma,,,
ACH-000145,SK-LMS-1,SKLMS1,SKLMS1_SOFT_TISSUE,,909720.0,Female,ATCC,CVCL_0628,1641.0,soft_tissue,Primary,Sarcoma,Leiomyosarcoma,43.0,SIDM01109,,soft_tissue,leiomyosarcoma,,,Adherent
ACH-000146,THP-1,THP1,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909771.0,Male,ATCC,CVCL_0006,770.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",1.0,SIDM01172,,blood,AML,M5,,Suspension
ACH-000147,T-47D,T47D,T47D_BREAST,,905945.0,Female,ATCC,CVCL_0553,1286.0,pleural_effusion,Metastasis,Breast Cancer,Breast Ductal Carcinoma,54.0,SIDM00097,,breast,breast_ductal_carcinoma,ERpos_HER2neg,luminal,Adherent
ACH-000148,Hs 578T,HS578T,HS578T_BREAST,,905957.0,Female,ATCC,CVCL_0332,655.0,breast,Primary,Breast Cancer,Carcinoma,74.0,SIDM00135,,breast,breast_carcinoma,ERneg_HER2neg,basal_B,Adherent
ACH-000149,SK-N-SH,SKNSH,SKNSH_AUTONOMIC_GANGLIA,,717431.0,Female,ATCC,CVCL_0531,1165.0,bone_marrow,Metastasis,Neuroblastoma,,4.0,SIDM01098,,peripheral_nervous_system,neuroblastoma,,,Adherent
ACH-000151,JM1,JM1,JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1327768.0,Male,ATCC,CVCL_3532,2096.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",,SIDM00689,,blood,ALL,b_cell,,Suspension
ACH-000153,NCI-H2052,NCIH2052,NCIH2052_PLEURA,,688058.0,Male,ATCC,CVCL_1518,1485.0,pleural_effusion,Metastasis,Lung Cancer,Mesothelioma,65.0,SIDM00713,,lung,mesothelioma,,,Adherent
ACH-000155,SW 1990,SW1990,SW1990_PANCREAS,,910907.0,Male,ATCC,CVCL_1723,1912.0,spleen,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",56.0,SIDM01165,,pancreas,exocrine,exocrine_adenocarcinoma,,Adherent
ACH-000157,A4/Fuk,A4FUK,A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910934.0,Female,JCRB,CVCL_1064,186.0,ascites,Primary,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),52.0,SIDM00502,,lymphocyte,non_hodgkin_lymphoma,DLBCL,,Suspension
ACH-000159,OS-RC-2,OSRC2,OSRC2_KIDNEY,,909250.0,Male,RIKEN,CVCL_1626,1674.0,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,,SIDM00239,,kidney,renal_cell_carcinoma,,,
ACH-000161,COR-L105,CORL105,CORL105_LUNG,,906805.0,Male,ECACC,CVCL_1138,22.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00513,,lung,NSCLC,NSCLC_adenocarcinoma,,Adherent
ACH-000162,GA-10,GA10,GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1303896.0,Male,ATCC,CVCL_1222,1008.0,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Non-Hodgkins, Burkitts",41.0,SIDM00854,,lymphocyte,non_hodgkin_lymphoma,b_cell_burkitt,,Suspension
ACH-000168,NOMO-1,NOMO1,NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908451.0,Female,HSRRB,CVCL_1609,297.0,bone_marrow,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",31.0,SIDM00580,,blood,AML,M5,,Adherent
ACH-000169,RD,RD,RD_SOFT_TISSUE,,909264.0,Female,ATCC,CVCL_1649,1763.0,soft_tissue,Primary,Sarcoma,"Rhabdomyosarcoma, embryonal",7.0,SIDM00847,,soft_tissue,rhabdomyosarcoma,embryonal,,Adherent
ACH-000171,VMRC-RCZ,VMRCRCZ,VMRCRCZ_KIDNEY,,909781.0,Unknown,HSRRB,CVCL_1791,738.0,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,,SIDM00317,,kidney,renal_cell_carcinoma,,,Adherent
